"1","Perez","Juan","La Paz","juan.perez@gmail.com","Afiliado"
"2","Rojas","Maria","Cochabamba","maria.rojas@gmail.com","NoAfiliado"
"3","Lopez","Carlos","Santa Cruz","carlos.lopez@gmail.com","Afiliado"
"4","Gomez","Laura","Sucre","laura.gomez@gmail.com","Afiliado"
"5","Mamani","Pedro","Oruro","pedro.mamani@gmail.com","NoAfiliado"
"6","Quispe","Ana","Tarija","ana.quispe@gmail.com","Afiliado"
"7","Flores","Luis","Potosi","luis.flores@gmail.com","NoAfiliado"
"8","Vargas","Sofia","Trinidad","sofia.vargas@gmail.com","Afiliado"
"9","Condori","Diego","Cobija","diego.condori@gmail.com","NoAfiliado"
"10","Huanca","Elena","La Paz","elena.huanca@gmail.com","Afiliado"
"11","Torres","Roberto","Cochabamba","roberto.torres@gmail.com","Afiliado"
"12","Soria","Carmen","Santa Cruz","carmen.soria@gmail.com","NoAfiliado"
